category,source_count,train_count,validation_count,source_share_pct,validation_share_pct,validation_share_minus_source_pp
exchange_charge,121,109,12,1.2096371088673399,1.1964107676969093,-0.013226341170430533
exchange_rate,112,101,11,1.119664100769769,1.0967098703888334,-0.02295423038093558
exchange_via_app,118,106,12,1.1796461061681496,1.1964107676969093,0.016764661528759772
extra_charge_on_statement,166,149,17,1.6595021493551934,1.694915254237288,0.035413104882094704
failed_transfer,137,123,14,1.369589123263021,1.3958125623130608,0.026223439050039765
fiat_currency_support,126,113,13,1.2596221133659902,1.296111665004985,0.03648955163899492
get_disposable_virtual_card,97,87,10,0.9697090872738179,0.9970089730807578,0.027299885806939872
get_physical_card,106,95,11,1.0596820953713886,1.0967098703888334,0.03702777501744481
getting_spare_card,129,116,13,1.2896131160651805,1.296111665004985,0.006498548939804616
getting_virtual_card,98,88,10,0.979706088173548,0.9970089730807578,0.01730288490720977
lost_or_stolen_card,82,74,8,0.8197540737778666,0.7976071784646062,-0.022146895313260417
lost_or_stolen_phone,121,109,12,1.2096371088673399,1.1964107676969093,-0.013226341170430533
order_physical_card,120,108,12,1.1996401079676098,1.1964107676969093,-0.0032293402707004315
passcode_forgotten,105,94,11,1.0496850944716585,1.0967098703888334,0.04702477591717491
pending_card_payment,159,143,16,1.5895231430570829,1.5952143569292123,0.0056912138721294525
pending_cash_withdrawal,143,129,14,1.4295711286614017,1.3958125623130608,-0.033758566348340846
pending_top_up,149,134,15,1.489553134059782,1.4955134596211366,0.005960325561354507
pending_transfer,148,133,15,1.479556133160052,1.4955134596211366,0.01595732646108461
pin_blocked,115,103,12,1.1496551034689595,1.1964107676969093,0.046755664227949856
receiving_money,95,86,9,0.9497150854743577,0.897308075772682,-0.052407009701675666
request_refund,169,152,17,1.6894931520543837,1.694915254237288,0.005422102182904398
reverted_card_payment?,161,145,16,1.609517144856543,1.5952143569292123,-0.014302787927330751
supported_cards_and_currencies,129,116,13,1.2896131160651805,1.296111665004985,0.006498548939804616
terminate_account,108,97,11,1.0796760971708488,1.0967098703888334,0.017033773217984605
top_up_by_bank_transfer_charge,111,100,11,1.1096670998700389,1.0967098703888334,-0.012957229481205479
top_up_by_card_charge,114,103,11,1.1396581025692294,1.0967098703888334,-0.04294823218039601
top_up_by_cash_or_cheque,114,103,11,1.1396581025692294,1.0967098703888334,-0.04294823218039601
top_up_failed,145,130,15,1.4495651304608619,1.4955134596211366,0.04594832916027469
top_up_limits,97,87,10,0.9697090872738179,0.9970089730807578,0.027299885806939872
top_up_reverted,146,131,15,1.4595621313605918,1.4955134596211366,0.03595132826054481
topping_up_by_card,103,93,10,1.0296910926721983,0.9970089730807578,-0.03268211959144052
transaction_charged_twice,175,157,18,1.749475157452764,1.794616151545364,0.04514099409259997
transfer_fee_charged,172,155,17,1.7194841547535737,1.694915254237288,-0.024568900516285685
transfer_into_account,113,102,11,1.129661101669499,1.0967098703888334,-0.03295123128066568
transfer_not_received_by_recipient,171,154,17,1.7094871538538436,1.694915254237288,-0.014571899616555584
transfer_timing,128,115,13,1.2796161151654504,1.296111665004985,0.016495549839534718
unable_to_verify_identity,102,92,10,1.0196940917724682,0.9970089730807578,-0.022685118691710415
verify_my_identity,104,94,10,1.0396880935719284,0.9970089730807578,-0.04267912049117062
verify_source_of_funds,113,102,11,1.129661101669499,1.0967098703888334,-0.03295123128066568
verify_top_up,126,113,13,1.2596221133659902,1.296111665004985,0.03648955163899492
virtual_card_not_working,41,37,4,0.4098770368889333,0.3988035892323031,-0.011073447656630209
visa_or_mastercard,135,121,14,1.3495951214635609,1.3958125623130608,0.04621744084949997
why_verify_identity,121,109,12,1.2096371088673399,1.1964107676969093,-0.013226341170430533
wrong_amount_of_cash_received,180,162,18,1.7994601619514148,1.794616151545364,-0.004844010406050758
wrong_exchange_rate_for_cash_withdrawal,163,147,16,1.629511146656003,1.5952143569292123,-0.03429678972679073
